price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$295.00,38.90147432308471,-77.01641047715654,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,28,97.0,10.0,10.0,10.0,9.0,strict
$149.00,38.900717453177684,-77.01684978142511,other,Entire home/apt,2,1.0,1.0,1.0,2,9,96.0,9.0,10.0,10.0,10.0,flexible
$110.00,38.90032475156411,-77.01060137155862,Apartment,Private room,2,1.0,1.0,1.0,1,10,92.0,10.0,10.0,9.0,9.0,flexible
$180.00,38.90414998543556,-77.02060693119537,Apartment,Entire home/apt,5,1.0,2.0,3.0,2,1,100.0,10.0,10.0,10.0,10.0,flexible
$150.00,38.89673074302121,-77.01133551455034,Apartment,Entire home/apt,2,1.0,0.0,2.0,3,3,80.0,10.0,9.0,9.0,9.0,moderate
$150.00,38.90475151074683,-77.02632710838512,Apartment,Entire home/apt,6,1.0,0.0,3.0,3,24,86.0,9.0,9.0,9.0,9.0,strict
$155.00,38.8986953947062,-77.01661719143496,Apartment,Entire home/apt,5,2.5,2.0,2.0,2,23,99.0,10.0,10.0,10.0,10.0,moderate
$85.00,38.90426842657193,-77.02655963085508,Apartment,Private room,3,1.0,1.0,2.0,3,338,97.0,10.0,10.0,10.0,9.0,strict
$130.00,38.90451103760749,-77.03022188574558,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,4,85.0,9.0,10.0,10.0,10.0,flexible
$120.00,38.90301687804222,-77.01858683712437,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,3,93.0,9.0,10.0,10.0,10.0,flexible
$90.00,38.90507876337232,-77.01843920062106,Apartment,Private room,2,1.0,1.0,1.0,2,12,97.0,9.0,10.0,10.0,10.0,moderate
$149.00,38.89993652238877,-77.0163454091627,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,47,98.0,10.0,10.0,10.0,10.0,flexible
$180.00,38.89841786914297,-77.01531136976845,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,6,97.0,10.0,10.0,10.0,10.0,moderate
$55.00,38.90195179189047,-77.05285593397221,Apartment,Shared room,1,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$229.00,38.900416822821825,-77.01729656430516,Apartment,Entire home/apt,4,1.0,1.0,1.0,2,29,92.0,9.0,10.0,10.0,9.0,moderate
$75.00,38.90136429242463,-77.01743426522319,Apartment,Private room,2,1.0,1.0,1.0,1,2,100.0,10.0,10.0,10.0,10.0,flexible
$105.00,38.90096120459072,-77.03333348907877,House,Private room,2,1.0,1.0,1.0,1,245,92.0,10.0,10.0,9.0,9.0,flexible
$259.00,38.8926727561956,-77.01946911068795,Apartment,Entire home/apt,2,1.0,1.0,1.0,4,3,90.0,10.0,9.0,9.0,9.0,super_strict_30
$120.00,38.90399081560214,-77.0173687983782,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,1,100.0,10.0,10.0,10.0,10.0,moderate
$119.00,38.9019832806116,-77.01483745543433,Apartment,Entire home/apt,3,1.0,1.0,2.0,5,3,80.0,10.0,9.0,10.0,9.0,moderate
