;id;fecha;producto_latitud;producto_longitud;url;tipo_propiedad
63;MLA1383900787;22/11/2023;-34.447016;-58.897431;https://inmueble.mercadolibre.com.ar/MLA-1383900787-local-en-venta-en-pilar-gba-zona-norte-argentina-_JM;Local
64;MLA1384852457;22/11/2023;-34.6198919;-58.4426831;https://inmueble.mercadolibre.com.ar/MLA-1384852457-local-venta-caballito-_JM;Local
65;MLA1385487945;22/11/2023;-34.6006198;-58.3739578;https://inmueble.mercadolibre.com.ar/MLA-1385487945-excelente-local-comercial-desarrollado-en-subsuelo-y-planta-baja-_JM;Local
66;MLA1386261650;22/11/2023;-34.9263806;-58.6114306;https://inmueble.mercadolibre.com.ar/MLA-1386261650-centro-comercial-laguna-mall-locales-desde-32m2-hasta-300m2-_JM;Local
67;MLA1386635013;22/11/2023;-34.6281857;-58.4615278;https://inmueble.mercadolibre.com.ar/MLA-1386635013-venta-local-comercial-flores-sobre-av-rivadavia-_JM;Local
68;MLA1387172390;22/11/2023;-34.5305198;-58.4697361;https://inmueble.mercadolibre.com.ar/MLA-1387172390-local-en-esquina-av-libertador-404-_JM;Local
69;MLA1387235781;22/11/2023;-31.3992544;-64.2643841;https://inmueble.mercadolibre.com.ar/MLA-1387235781-local-comercial-barrio-alberdi-_JM;Local
70;MLA1387429836;22/11/2023;;;;
71;MLA1387430596;22/11/2023;-36.7415495;-59.7923299;https://inmueble.mercadolibre.com.ar/MLA-1387430596-alquiler-local-san-justo-_JM;Local
72;MLA1387798751;22/11/2023;-34.6123678;-58.3683433;https://inmueble.mercadolibre.com.ar/MLA-1387798751-excelente-local-en-alquiler-122-m2-apto-todo-destino-tiraje-y-gas-_JM;Local
73;MLA1388352818;22/11/2023;-34.86031;-58.503176;https://inmueble.mercadolibre.com.ar/MLA-1388352818-local-en-venta-canning-plaza-canning-_JM;Local
74;MLA1388355987;22/11/2023;-34.5251506;-58.472314;https://inmueble.mercadolibre.com.ar/MLA-1388355987-venta-local-en-esquina-frente-a-edificio-we-work-vicente-lopez-_JM;Local
75;MLA1388362715;22/11/2023;-34.4902649;-58.5022316;https://inmueble.mercadolibre.com.ar/MLA-1388362715-amplio-local-en-muy-buena-ubicacion-_JM;Local
76;MLA1388512311;22/11/2023;-36.5423257;-56.6918201;https://inmueble.mercadolibre.com.ar/MLA-1388512311-local-alquiler-santa-teresita-_JM;Local
77;MLA1389892639;22/11/2023;-34.6167381;-58.5132635;https://inmueble.mercadolibre.com.ar/MLA-1389892639-oportunidad-venta-local-comercial-devoto-_JM;Local
78;MLA1390207689;22/11/2023;-32.952657;-60.6538868;https://inmueble.mercadolibre.com.ar/MLA-1390207689-vendo-local-en-planta-baja-y-casa-en-planta-alta-zona-tribunales-_JM;Local
79;MLA1390566057;22/11/2023;-34.9107119;-57.9757958;https://inmueble.mercadolibre.com.ar/MLA-1390566057-local-comercial-16-y-34-_JM;Local
80;MLA1390842743;22/11/2023;-34.6126487;-58.4083261;https://inmueble.mercadolibre.com.ar/MLA-1390842743-local-con-3-vidrieras-buen-frente-sup-99m2-pb-ss-_JM;Local
81;MLA1391216395;22/11/2023;-31.7215671;-65.0050489;https://inmueble.mercadolibre.com.ar/MLA-1391216395-venta-de-localesgalpones-frente-al-rio-en-mina-clavero-traslasierra-cordoba-_JM;Local
82;MLA1391491831;22/11/2023;-34.447016;-58.897431;https://inmueble.mercadolibre.com.ar/MLA-1391491831-local-en-venta-en-pilar-gba-zona-norte-argentina-_JM;Local
83;MLA1391533129;22/11/2023;-34.447016;-58.897431;https://inmueble.mercadolibre.com.ar/MLA-1391533129-local-en-alquiler-en-pilar-gba-zona-norte-argentina-_JM;Local
84;MLA1391547301;22/11/2023;-34.6149173;-58.402883;https://inmueble.mercadolibre.com.ar/MLA-1391547301-alquiler-o-venta-local-balvanera-calle-saavedra-a-metros-de-av-belgrano-y-av-jujuy-_JM;Local
85;MLA1391558749;22/11/2023;-34.447016;-58.897431;https://inmueble.mercadolibre.com.ar/MLA-1391558749-local-en-alquiler-en-pilar-gba-zona-norte-argentina-_JM;Local
86;MLA1391599745;22/11/2023;-34.6149173;-58.402883;https://inmueble.mercadolibre.com.ar/MLA-1391599745-alquiler-o-venta-local-balvanera-calle-saavedra-a-metros-de-av-belgrano-y-av-jujuy-_JM;Local
87;MLA1392629907;22/11/2023;-34.5924844;-58.4112957;https://inmueble.mercadolibre.com.ar/MLA-1392629907-local-venta-palermo-_JM;Local
88;MLA1392740377;22/11/2023;-34.4495599;-58.5507667;https://inmueble.mercadolibre.com.ar/MLA-1392740377-venta-local-con-vivienda-av-avellaneda-virreyes-_JM;Local
89;MLA1393038413;22/11/2023;-34.609297;-58.377676;https://inmueble.mercadolibre.com.ar/MLA-1393038413-local-en-alquiler-en-monserrat-capital-federal-buenos-aires-_JM;Local
90;MLA1393051135;22/11/2023;-34.647777;-58.498057;https://inmueble.mercadolibre.com.ar/MLA-1393051135-local-en-alquiler-en-mataderos-capital-federal-buenos-aires-_JM;Local
91;MLA1393088561;22/11/2023;-34.4268015;-58.575721;https://inmueble.mercadolibre.com.ar/MLA-1393088561-local-comercial-en-alquiler-avenida-cazon-zona-comercial-de-tigre-62-mts-zona-tigre-centro-_JM;Local
92;MLA1393126797;22/11/2023;-34.68528;-58.474724;https://inmueble.mercadolibre.com.ar/MLA-1393126797-local-en-alquiler-en-villa-lugano-capital-federal-buenos-aires-_JM;Local
93;MLA1393458841;22/11/2023;-34.619865;-58.365005;https://inmueble.mercadolibre.com.ar/MLA-1393458841-local-en-alquiler-en-puerto-madero-apto-gastronomia-ubi-estrategica-_JM;Local
94;MLA1393471623;22/11/2023;-34.619865;-58.365005;https://inmueble.mercadolibre.com.ar/MLA-1393471623-local-en-alquiler-en-puerto-madero-apto-gastronomia-ubi-estrategica-_JM;Local
95;MLA1393692087;22/11/2023;-36.6851067;-56.6783896;https://inmueble.mercadolibre.com.ar/MLA-1393692087-oportunidad-amplio-local-comercial-en-alquiler-en-san-bernardo-_JM;Local
96;MLA1393700507;22/11/2023;-31.4291911;-64.1862235;https://inmueble.mercadolibre.com.ar/MLA-1393700507-casona-en-nueva-cordoba-alquiler-comercial-_JM;Local
97;MLA1393961301;22/11/2023;-34.5562129;-58.4514559;https://inmueble.mercadolibre.com.ar/MLA-1393961301-venta-local-viaviva-barrio-chino-financiado-_JM;Local
98;MLA1393974313;22/11/2023;-34.5642746;-58.4601232;https://inmueble.mercadolibre.com.ar/MLA-1393974313-venta-local-comercial-viaviva-barrio-chino-crenta-_JM;Local
99;MLA1394134513;22/11/2023;-34.6058404;-58.4261216;https://inmueble.mercadolibre.com.ar/MLA-1394134513-alquiler-local-comercial-deposito-consultorio-420m2-almagro-_JM;Local
100;MLA1394253391;22/11/2023;-34.4145052;-58.6942483;https://inmueble.mercadolibre.com.ar/MLA-1394253391-venta-local-comercial-con-galpon-y-deposito-sobre-gran-lote-en-benavidez-tigre-_JM;Local
101;MLA1394649819;22/11/2023;-34.595321;-58.4145851;https://inmueble.mercadolibre.com.ar/MLA-1394649819-dueno-directo-vende-o-alquila-excelente-ubicacion-_JM;Local
102;MLA1394806873;22/11/2023;-41.1372768;-71.2945652;https://inmueble.mercadolibre.com.ar/MLA-1394806873-local-en-venta-en-bariloche-_JM;Local
103;MLA1394863777;22/11/2023;-34.5690776;-58.4608822;https://inmueble.mercadolibre.com.ar/MLA-1394863777-venta-hermoso-local-con-patio-deposito-belgrano-r-_JM;Local
104;MLA1395634855;22/11/2023;-34.5597229;-58.4554749;https://inmueble.mercadolibre.com.ar/MLA-1395634855-excelente-local-sobre-av-cramer-y-mendoza-pb-y-ep-57-m2-_JM;Local
